Question,Choices,Answer,Explanation,Category
"Throwing candy wrappers, or anything from your vehicle windows is:","A. forbidden at all times B. forbidden only in the province C. forbidden only in the cities
",A. forbidden at all times,"It's illegal to throw any garbage from your vehicle if it's not into designated garbage bins. If
caught, the fine is Php 500 or an 8-hour community service.","General Knowledge
"
"Public Service Law prohibits a public utility driver to converse with his passengers to assure utmost attention to the road, specifically while the vehicle is:",A. parked B. climbing the mountain C. in motion,C. in motion,"It's a violation for PUJ and PUV drivers to converse with their passengers as this limits their concentration on the road and puts them, their passengers, and other road users at a greater risk of being involved in a road accident.",General Knowledge
The speed limit prescribed by law does not apply to a driver who is:,A. bringing his employer to an important official meeting B. driving a vehicle who is in pursuit of a criminal C. cruising along the highway where traffic is light,B. driving a vehicle who is in pursuit of a criminal,"Any law-enforcement officer in pursuit of a criminal is exempted from the mandatory speed
limit.",General Knowledge
"If you have a driver's license, you can drive:","A. public vehicles only B. any vehicle C. vehicles according to their license type
",C. vehicles according to their license type,"All LTO-issued licenses have an indicated vehicle type allowed to be driven, this varies per
license classification.",General Knowledge
"While driving, what document should you always take with you?","A. Driver's license B. Driver's license and vehicle insurance document C. Driver's license, vehicle registration, and a proof of recent payment to LTO for the vehicle","C. Driver's license, vehicle registration, and a proof of recent payment to LTO for the vehicle",,General Knowledge
"The Temporary Operator's Permit (TOP) gives a driver an authorization to operate a motor vehicle
for a period of time, not exceeding:","A. 72-hours from time and date of issue B. one-week C. 15 days
",A. 72-hours from time and date of issue,"Upon issuance, a TOP (Temporary Operator's Permit) could be used for up to 72 hours only",General Knowledge
"Which among the following is not a good trait of a driver?","A. Driving under the influence of alcohol B. Driving while listening to music C. Driving fast on a highway
",A. Driving under the influence of alcohol,"Driving recklessly and under the influence of alcohol is a bad trait which may develop into a
habit, is illegal, and is putting you and other road users at great risk for accidents.",General Knowledge
"A driver with Restriction Code No. 1 in his license is allowed to drive:
",A. Motorcycle only B. Truck C. Cars,A. Motorcycle only,Driver's license with restriction 1 are only allowed to drive motorbikes and motorized tricycles.,General Knowledge
"While driving at night, ignoring traffic lights could:",A. make you reach your destination faster B. involve you in a vehicular accident C. minimize your fuel consumption,"B. involve you in a vehicular accident
","Observe and follow road and traffic signs at all times. They are there for safety and organizational reasons. Driving during late night doesn't mean you can violate them with the absence of traffic enforcers.",General Knowledge
" All are effects of alcohol in driving, except:",A. Coordinated body movements and self judgment B. Diminished concentration C. Slow reaction time,A. Coordinated body movements and self judgment,"Drinking alcohol has been proven to reduce concentration, slows reaction time, loss of coordination and critical judgement.",General Knowledge
"A driver is considered a professional if:
",A. he is a driving expert B. he can drive any vehicle C. he is paid or earns money while driving a private or public vehicle,"
C. he is paid or earns money while driving a private or public vehicle
","Professional drivers are those who drive for a living. To do that they must have a Professional driver's license.",General Knowledge
"Driving under the influence of alcohol is one of the major causes of vehicular accident because when a driver is drunk, he is:","A. arrogant, talkative, and very sleepy to drive safely B. arrogant, talkative, and gets easily irritated C. arrogant, talkative and doesn’t have the judgment and the reflexes to drive safely","C. arrogant, talkative and doesn’t have the judgment and the reflexes to drive safely
","Driving under the influence of alcohol or illegal drugs is extremely dangerous and is punishable by law.",General Knowledge
"The Director of the LTO may suspend/revoke a driver's license when:

",A. the driver operated a motor vehicle as an accessory in the commission of any crime B. The holder has been convicted for three violations of the land transportation laws within a 12-month period C. both of the above,C. both of the above,The director of LTO has the authority to either suspend or revoke your driver's license depending on the gravity of the series of violations you've committed within in a period of one year.,General Knowledge
"A good driving attitude of a driver is to:
",A. drive slowly B. drive defensively C. take chances if possible,B. drive defensively,"Defensive drivers maintain focus on the road, they keep their hands at the wheel at 10 o'clock and 2 o'clock position. They refrain from doing other tasks while driving. E.g. texting, eating, applying makeup.",General Knowledge
It refers to any land transportation vehicles propelled by any other power than muscular power.,A. motorbike B. muscle car C. motor vehicle,C. motor vehicle,"A motor vehicle is any vehicle that's used on or off-road and is propelled by a motor engine that is powered by either fuel or electricity.",General Knowledge
"The safest speed of a vehicle is according to:
",A. capability of the vehicle B. road and weather conditions C. capability of the driver,B. road and weather conditions,"When driving, always consider the road and weather conditions before pushing down hard the gas pedal. If the road is wet it is safest to drive at a moderate speed, while in an expressway you should always observe the minimum speed limit.",General Knowledge
"When using the basic speed law as a guide, the choice of speed is based on the:

",A. speed of the driver B. fuel of car being driven C. traffic and road condition,C. traffic and road condition,"Speed limits are based on traffic and overall condition of the road. That's why speed limits vary on different highways and roads here in the Philippines. E.g. 100kph in expressways for cars (80kph for trucks/buses); 40kph on avenues and boulevards (30kph for trucks/buses); 30kph on city and town streets; 20kph on crowded streets; 10kph on other private subdivision streets.",General Knowledge
"Public utility motor vehicle plates are colored:
",A. yellow with black numerals B. white with green numerals C. white with red numerals,A. yellow with black numerals,"The LTO issues yellow plates for PUVs and PUJs, red for government vehicles, blue for diplomatic use, and green for private vehicles.",General Knowledge
"Non-professional license is only for:
",A. all vehicles B. private vehicles C. public vehicles,B. private vehicles,"Non-professional driver's licenses fall under restrictions 1, 2, and 4. This means that the vehicle allowed to be driven should not exceed a gross weight of 4500 kg and must be private vehicles only.",General Knowledge
"The purpose of traffic laws, rules and regulations is to:

",A. generate revenues for the government B. establish an orderly movement of vehicles and pedestrian traffic and penalties C. discipline traffic enforcers,"B. establish an orderly movement of vehicles and pedestrian traffic and penalties
","Traffic rules and regulation is implemented for organizational and safety reasons so all motorists and road users must follow them.",General Knowledge
"In traffic direction and control, when both the traffic lights and law enforcer are directing traffic, which will you follow to avoid confusion?

",A. Traffic enforcers B. Both traffic light and enforcer C. Traffic lights,A. Traffic enforcers,"Traffic enforcers can overrule traffic lights so when both are present you may ignore the traffic lights and follow the traffic enforcer's direction.",General Knowledge
The most important sense the driver needs in driving is:,A. hearing B. seeing C. touch,B. seeing,"This is very self explanatory. Driving is almost entirely dependent on your sense of sight.",General Knowledge
"Before making a long trip, a driver should:
","A. sleep for 8 hours B. prepare tools and repair kit; and plan route and check the condition of the vehicle C. drink coffee if you slept less than 8 hours

","B. prepare tools and repair kit; and plan route and check the condition of the vehicle","Doing a pre-trip inspection must be done before hitting the road. The most important reason to do it is for your safety. It can be very dangerous to go out on the road with damaged brakes, compromised wiring, or unsecured load. This especially applies to trucks and other heavy vehicles but should also be done for cars and even motorbikes.",General Knowledge
"Under the basic speed law, you may never drive faster than:
",A. that which is safe B. the posted speed limit C. the flow of traffic,A. that which is safe,"Speed limits are based on traffic and overall condition of the road. That's why speed limits vary on different highways and roads here in the Philippines. E.g. 100kph in expressways for cars (80kph for trucks/buses); 40kph on avenues and boulevards (30kph for trucks/buses); 30kph on city and town streets; 20kph on crowded streets; 10kph on other private subdivision streets.",General Knowledge
